NO,Department,Name,MODEL,SERIAL,MANUFACTURER,LOG_Number,Installation_Date,Warranty_End,PPM_Q_I_date,PPM_Q_I_engineer,PPM_Q_II_engineer,PPM_Q_III_engineer,PPM_Q_IV_engineer,Unnamed: 14
348,ER,SUCTION MACHINE,CVR-6-1229,GFHL50728,Ohio Medical Corp.,1506,,,9/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
349,ER,SUCTION MACHINE,V-7MX,33839-19-017,HERSILL,1537,,,10/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
350,ER,SUCTION MACHINE,CVR6-1229,GFHL50713,Ohmeda Medical ,1592,,,11/3/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
351,ER,SUCTION MACHINE,new askir30,9771,CA-MI Italian,1606,,,12/3/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
352,ER,SUCTION MACHINE,CVR6-1229,GFHL50725,OHMEDA MEDICAL ,2735,,,13/03/2026,ARUN,SUJITH,ARUN,SUJITH,
353,ER,SUCTION MACHINE,CVR6-1230,GFHE5521,OHMEDA MEDICAL ,2734,,,14/03/2026,ARUN,SUJITH,ARUN,SUJITH,
354,ER,SUCTION MACHINE,CVR6-1231,GFHE55544,OHMEDA MEDICAL ,2733,,,15/03/2026,ARUN,SUJITH,ARUN,SUJITH,
355,ER,SUCTION MACHINE,CVR6-1232,GFHK52427,OHMEDA MEDICAL ,2738,,,16/03/2026,ARUN,SUJITH,ARUN,SUJITH,
356,ER,SUCTION MACHINE,CVR6-1233,GFHK52429,OHMEDA MEDICAL ,2737,,,17/03/2026,ARUN,SUJITH,ARUN,SUJITH,
357,ER,SYRINGE PUMP,SP-500,8010102-220UKN,JMS,1503,,,18/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
358,ER,SYRINGE PUMP,SP-500,8010042-220UKN,JMS,1549,,,19/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
359,ER,SYRINGE PUMP,SP-500,0110281-220UKN,JMS Co. Ltd,1589,,,20/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
360,ER,SYRINGE PUMP,SP500,8101431-220EU,JMS Co. Ltd,1594,,,21/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
361,ER,SYRINGE PUMP,SP500,8010012-220UKN,JMS Co. Ltd,1597,,,22/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
362,ER,SYRINGE PUMP,SP500,6120181-220UKN,JMS Co. Ltd,1601,,,23/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
363,ER,SYRINGE PUMP,SP-500,5090971-220EUN,JMS,1602,,,24/03/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
364,ER,ULTRASOUND,SONO ACE R5,SOIBM3HG300035W,SAMSUNG MEDISON,1539,,,25/03/2026,SUJITH,ARUN,SUJITH,ARUN,
365,ER,VEIN VIEWER,AV500,AV20040356,ACCUVEIN,1603,,,26/03/2026,SUJITH,ARUN,SUJITH,ARUN,
366,ER,VENTILATOR , T1 ,29538,HAMILTON ,1576,,,27/03/2026,SUJITH,ARUN,SUJITH,ARUN,
367,ER,VITAL SIGN MONITOR,iM3,261436-M19904140002,EDAN,1531,,,28/03/2026,SUJITH,ARUN,SUJITH,ARUN,
368,ER,VITAL SIGN MONITOR,iM3,261436-M19104720001,EDAN,1538,,,29/03/2026,SUJITH,ARUN,SUJITH,ARUN,
369,ER,VITAL SIGN MONITOR,iM3,261436-M19904140001,EDAN,1542,,,30/03/2026,SUJITH,ARUN,SUJITH,ARUN,
370,ER,VITAL SIGN MONITOR,iM3,261436-M19904140003,EDAN,1667,,,31/03/2026,SUJITH,ARUN,SUJITH,ARUN,
371,ER,WEIGHING SCALE,WB3000,13070064,TANITA,1530,,,1/4/2026,ARUN,SUJITH,ARUN,SUJITH,
372,ER,WEIGHING SCALE,WB-380,17030016,TANITA,1534,,,2/4/2026,ARUN,SUJITH,ARUN,SUJITH,
373,ER,WEIGHING SCALE,WB-3000,14040234,TANITA,1607,,,3/4/2026,ARUN,SUJITH,ARUN,SUJITH,
374,ER,WEIGHING SCALE,WB380,17030021,TANITA,1619,,,4/4/2026,ARUN,SUJITH,ARUN,SUJITH,
375,ER,WEIGHING SCALE,WB-3000,13070055,TANITA,2704,,,5/4/2026,ARUN,SUJITH,ARUN,SUJITH,
376,IM,DEFIBRILLATOR,Reanibex700,2008/20022414,BEXEN,1396,,,6/4/2026,NIXON,NIXON,JAYAPRAKASH,NIXON,
377,IM,ECG MACHINE,CARDIPIA800H,C800152102,TRISMED,1385,,,7/4/2026,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
378,IM,PULSE OXIMETER,SAT805,61150684,BITMOS,1377,,,8/4/2026,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
379,IM,PULSE OXIMETER,SAT805,71181676,BITMOS,1389,,,9/4/2026,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
380,IM,PULSE OXIMETER,SAT 805,80191885,BITMOS,1395,,,10/4/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
381,IM,PULSE OXIMETER,,261436-M74903,TANITA,2735,,,11/4/2026,NIXON,MANU,MANU,MANU,
382,IM,PULSE OXIMETER,MINDRAY,FU-55003564,TANITA,1417,,,12/4/2026,MANU,MANU,MANU,MANU,
383,IM,SUDOSCAN ,SANGO,1.00002E+12,IMPETO MEDICAL,1378,,,13/04/2026,NIXON,NIXON,JAYAPRAKASH,NIXON,
384,IM,VITAL SIGNMONITOR,IM3,261436-EM24903540003,EDAN,1372,,,14/04/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
385,IM,VITAL SIGNMONITOR,VS600,FU-55003567,MINDRAY,1379,,,15/04/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
386,IM,VITAL SIGNMONITOR,VS600,FM-55003571,MINDRAY,1398,,,16/04/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
387,IM,VITAL SIGNMONITOR,IM3,261436EM24943560001,EDAN,1405,,,17/04/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
388,IM,WEIGHING SCALE,WB-380,17010086,TANITA,1334,,,18/04/2026,MANU,MANU,MANU,MANU,
389,IM,WEIGHING SCALE,WB-380,17010062,TANITA,1339,,,19/04/2026,MANU,MANU,MANU,MANU,
390,IM,WEIGHING SCALE,WB-380,17080021,TANITA,1343,,,20/04/2026,MANU,NIXON,MANU,MANU,
391,IM,WEIGHING SCALE,WB-3000,13070003,TANITA,1348,,,21/04/2026,MANU,MANU,MANU,MANU,
392,IM,WEIGHING SCALE,WB-380,19080279,TANITA,1357,,,22/04/2026,MANU,MANU,MANU,MANU,
393,IM,WEIGHING SCALE,WB-3000,14100154,TANITA,1361,,,23/04/2026,MANU,MANU,MANU,MANU,
394,IM,WEIGHING SCALE,WB-380,17030006,TANITA,1368,,,24/04/2026,MANU,MANU,MANU,MANU,
395,IM,WEIGHING SCALE,WB-380,17030014,TANITA,1373,,,25/04/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
396,IM,WEIGHING SCALE,WB-3000,13070010,TANITA,1381,,,26/04/2026,MANU,MANU,MANU,MANU,
397,IM,WEIGHING SCALE,WB-3000,13070049,TANITA,1387,,,27/04/2026,MANU,MANU,MANU,MANU,
398,IM,WEIGHING SCALE,WB-3000,14100160,TANITA,1392,,,28/04/2026,MANU,MANU,MANU,MANU,
399,IM,WEIGHING SCALE,WB-3000,13070033,TANITA,1400,,,29/04/2026,MANU,MANU,MANU,MANU,
400,IM,WEIGHING SCALE,WB-380,17030025,TANITA,1404,,,30/04/2026,MANU,MANU,MANU,MANU,
401,IM,WEIGHING SCALE,WB-3000,130101049#,TANITA,1421,,,1/5/2026,NIXON,MANU,MANU,MANU,
402,IM,WEIGHING SCALE,WB-3000,14100165#,TANITA,1415,,,2/5/2026,SUJITH,MANU,MANU,MANU,
403,IVF,BENCH TOP INCUBATOR,K-MINC-1000,K818766,COOK MEDICAL,2074,,,3/5/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
404,IVF,BURNER,U-RFL-T,808129,OLYMPUS,2771,,,4/5/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
405,IVF,CENTRIFUGE,5702,570207288,EPPENDORF,2051,,,5/5/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
406,IVF,CENTRIFUGE,2100,A32605,KUBOTA,2052,,,6/5/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
407,IVF,CODA AIR FILTER,AERO500,CA51118,GENX INTERNATIONAL,2069,,,7/5/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
408,IVF,CODA FILTER,CODA AERO,CA739,GENX INTERNATIONAL,2078,,,8/5/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
409,IVF,CODA TOWER,GTTU-041,CT037,GENX INTERNATIONAL,2057,,,9/5/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
410,IVF,HEATING PLATE,WP37-500,14110131,ORIGIO,2089,,,10/5/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
411,IVF,HEATING TABLE,R64ET,31002,K SYSTEM,2038,,,11/5/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
412,IVF,INC UBATOR BENCH TOP,A-MYNC-1000,M-1670,COOK MEDICAL,2062,,,12/5/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
413,IVF,INCUBATOR,15700,5893,RSBIOTECH,2047,,,13/05/2026,ARUN,SUJITH,ARUN,SUJITH,
414,IVF,INCUBATOR,C60,14093-0846,LABOTECT,2060,,,14/05/2026,ARUN,SUJITH,ARUN,SUJITH,
415,IVF,INCUBATOR,C60,14093-0594,LABOTECT,2061,,,15/05/2026,ARUN,SUJITH,ARUN,SUJITH,
416,IVF,INCUBATOR,LABOC TOP,14876-0400,LABOTECT,2063,,,16/05/2026,ARUN,SUJITH,ARUN,SUJITH,
417,IVF,INCUBATOR,IN30,E-310-0199,MEMMERT,2064,,,17/05/2026,ARUN,SUJITH,ARUN,SUJITH,
418,IVF,INCUBATOR,LABOC TOP,14876-0391,LABOTECT,2075,,,18/05/2026,ARUN,SUJITH,ARUN,SUJITH,
419,IVF,INCUBATOR,C60,14093-0311,LABOTECT,2076,,,19/05/2026,ARUN,SUJITH,ARUN,SUJITH,
420,IVF,INCUBATOR,IP60,K21537,LTE,2077,,,20/05/2026,ARUN,SUJITH,ARUN,SUJITH,
421,IVF,IVF WORK STATION,L126MP,30713,K SYSTEM,2055,,,21/05/2026,SUJITH,ARUN,SUJITH,ARUN,
422,IVF,LABEL PRINTER,M710,M7-19-427,BRADY,2049,,,22/05/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
423,IVF,LAMINAR WORK STATION,1800DE,17210003,ORIGIO,2065,,,23/05/2026,SUJITH,ARUN,SUJITH,ARUN,
424,IVF,LAMINAR WORK STATION,WX1800RE,17360001,ORIGIO,2071,,,24/05/2026,SUJITH,ARUN,SUJITH,ARUN,
425,IVF,MANIPULATOR,1X71/INTEGRA3,3F00843,OLYMPUS RA,2068,,,25/05/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
426,IVF,MANIPULATOR,ECLIPSE TI2/INTEGRA3,742288,NIKON,2073,,,26/05/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
427,IVF,MICROSCOPE,CX41RF,4C08854,OLYMPUS,2056,,,27/05/2026,SUJITH,ARUN,SUJITH,ARUN,
428,IVF,MICROSCOPE,SZX9,4F01724,OLYMPUS,2066,,,28/05/2026,SUJITH,ARUN,SUJITH,ARUN,
429,IVF,MICROSCOPE,SMZ1270,1007041,NIKON,2067,,,29/05/2026,SUJITH,ARUN,SUJITH,ARUN,
430,IVF,MICROSCOPE,SMZ1270,1007072,NIKON,2072,,,30/05/2026,SUJITH,ARUN,SUJITH,ARUN,
431,IVF,MICROSCOPE,BX51TRF,8H24537,OLYMPUS,2013,,,31/05/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
432,IVF,MICROSCOPE,SZX-ILLB2-200,5C21124,OLYMPUS,2774,,,1/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
433,IVF,MICROSCOPE,CKX41SF,5F04805,OLYMPUS,2130,,,2/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
434,IVF,TEST TUBE HEATER,BT070,10719-0294,LABOTECH,2070,,,3/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
435,IVF,TEST TUBE WARMER,K-FTH-1012,K1666,COOK MEDICAL,2090,,,4/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
436,IVF,THERMO BRITE,S500-24,829301788,ABBOTT MOLECULAR,2775,,,5/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
437,IVF,THERMOPLATE,X5,0.0912072,ORGIO,2008,,,6/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
438,IVF,TUBE HEATER,K-FTH-1012,RS-102098,COOK MEDICAL,2039,,,7/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
439,IVF,WATERBATH,WB7,DINEN GO529-IP20,MEMMERT,2773,,,8/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
440,LAB,AICARE ANALYZER ,A1 CARE ,AIC20101631,I SENSE,1704,,,9/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
441,LAB,BD BACTEC FX40,BD BACTEC FX40,FFA375,VECTOM,1754,,,10/6/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
442,LAB,BD PHOENIX M50,BD PHOENIX M50 ,PF2480,Becton Dickenson,1763,,,11/6/2026,NIXON,NIXON,NIXON,NIXON,
443,LAB,BIOCHEMESTRY,COBAS INTEGRA 400+,400743,ROCHE DIAGNOSTIC,1716,,,12/6/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
444,LAB,BLOOD BANK REFRIGERATOR,DS-FS30E,FF0920DSK0221,DESMON,1746,,,13/06/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
445,LAB,BLOOD MIXER,BM-11,1692,LABLINE,1741,,,14/06/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
446,LAB,BOISAFETY CABINET,HS9,40384305,HERAEUS,1764,,,15/06/2026,NIXON,NIXON,NIXON,NIXON,
447,LAB,CENTRIFUGE,Z206A,601900023,HERMLE,1735,,,16/06/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
448,LAB,CENTRIFUGE,Z206A,601900343,HERMLE,1742,,,17/06/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
449,LAB,CENTRIFUGE,Z206A,60150147,Hermle Labor-,1770,,,18/06/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
450,LAB,CHEMISTRY  ANALYZER,BS -600M,BH9-24000066,SHENZEIN MINDRAY BIO,1699,,,19/06/2026,SUJITH,ARUN,SUJITH,ARUN,
451,LAB,COATRON X,COATRON XPRO,102003960,TECHO MEDICAL,1750,,,20/06/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
452,LAB,DUCTLESS FUME HOOD,C-DH-900,DH-900-FD07-007,CHC Lab. Korea,1768,,,21/06/2026,NIXON,NIXON,NIXON,NIXON,
453,LAB,ELECTROLYTE ANALYSER,9180,24526,ROCHE,1705,,,22/06/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
454,LAB,ELECTROLYTE ANALYSER,9180,25431,ROCHE,1706,,,23/06/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
455,LAB,GFL WATER BATH,1003,11723714K,GFL,1756,,,24/06/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
456,LAB,HEMATOLOGY ANALYSER,BC-760CS,DJ2-45000519,MINDRAY,1745,,,25/06/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
457,LAB,HEMATOLOGY ANALYSER,XS-500I,1372,SYSMEX CORPORATION ,1748,,,26/06/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
458,LAB,HEMATOLOGY ANALYSER,XN-330,17866,SYSMEX CORPORATION,2792,,,27/06/2026,NIXON,NIXON,NIXON,NIXON,
459,LAB,HORMONE  ANALYZER,COBAS C303,(21)22E4-03,HITACHI HIGH-TECH,1701,,,28/06/2026,ARUN,SUJITH,ARUN,SUJITH,
460,LAB,HORMONE  ANALYZER,COBAS  E 402,(21)22E4-01,HITACHI HIGH-TECH,1702,,,29/06/2026,SUJITH,ARUN,SUJITH,ARUN,
461,LAB,HORMONE  ANALYZER,CL-12001,W7-32004767,SHENZEIN MINDRAY BIO,1698,,,30/06/2026,SUJITH,ARUN,SUJITH,ARUN,
462,LAB,HORMONE ANALYSER,Cobas e 402,(21)22E4-02,Hitachi High Tech.,1703,,,1/7/2026,ARUN,ARUN,ARUN,ARUN,
463,LAB,HYKD BREATH ANALYSIS,HY-15,HY502103003,HYKD,1721,,,2/7/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
464,LAB,I CHROMA 11,I CHROMA II,IR2RB261285,BODITECHMED,1736,,,3/7/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
465,LAB,INCUBATOR,UBD2,G60440015,Giant Instrument,1740,,,4/7/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
466,LAB,INCUBATOR,IP 100,K16647,STERLING,1755,,,5/7/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
467,LAB,INCUBATOR FOR ANTI-ACP,I-CHAMBER,ICMOY263050,BODITECHMED,1727,,,6/7/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
468,LAB,MICROPROBE LYSIS BLOCK,108005-001,108406101D567,Becton Dickenson,1759,,,7/7/2026,NIXON,NIXON,NIXON,NIXON,
469,LAB,MICROPROBE PROCESSOR,18WF,211918,Becton Dickenson,1758,,,8/7/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
470,LAB,MICROSCOPE,E100,855727,NIKON,1769,,,9/7/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
471,LAB,MICROSCOPE ,ECLIPSE ,78685,NIKON ,1737,,,10/7/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
472,LAB,MICROSCOPE ,E100,855796,NIKON,1753,,,11/7/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
473,LAB,ORTHO OPTICS READER,ORTHO OPTICS,64000164,ORTHOCLINIC DIAGNOSTIC,1744,,,12/7/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
474,LAB,ORTHO WORK STATION,ORTHO WORK STATION,610010578,DIAGNOSTIC,1743,,,13/07/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
475,LAB,PHOENIXSPEC NEPHLOMETER,PHOENIX SPE,6016,Becton Dickenson,1762,,,14/07/2026,NIXON,NIXON,NIXON,NIXON,
476,LAB,PLASMA FREEZER,LPF-90,18087047,LABTOP,1747,,,15/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
477,LAB,ROTATOR,VRN-210,912423,Gemmy Ind.Corp,1728,,,16/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
478,LAB,SPERM ANALYSER,X1-PRO,X-10VL16M10007,BONRABIO,1722,,,17/07/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
479,LAB,STAT  ANALYSER,AE4042,62111001,AUTION ELEVN,1772,,,18/07/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
480,LAB,STAT 1 ANALYSER,MINI 300,310249,ABBOT,1715,,,19/07/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
481,LAB,TECO COATRON A4,COATRON A4,0601-2204-1421,TECO,1749,,,20/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
482,LAB,TRIAGE METER ,TRIAGE METER PRO,00074113WW,Alere San Deigo Inc,1730,,,21/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
483,LAB,TRIAGE METER PRO,TRIAGE METER PRO,00085340WW,Alere San Deigo Inc,1729,,,22/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
484,LAB,UPS,IST3-3-4x9,551111026630PB100041,AEC INT. S.R.L,2787,,,23/07/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
485,LAB,UPS,BV8001-MSX,9B2119A19748,APC BY SCHEINER ELECTRIC,2788,,,24/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
486,LAB,UPS,IST3030010,551101303630N9200114,AEC INT. S.R.L,2789,,,25/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
487,LAB,UPS,IST3060010,551101299950N4100089,AEC INT. S.R.L,2790,,,26/07/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
488,LAB,UPS,IST3-3-6X9,551111020880PC200058,AEC INT. S.R.L,2791,,,27/07/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
489,LAB,URINE ANALYSER,COBAS u 411,11640,ROCHE,1771,,,28/07/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
490,LAB,VORTEX MIXER,VORTEX 1,1.001E+17,VORTEX,1761,,,29/07/2026,NIXON,NIXON,NIXON,NIXON,
491,LAB,WATER DISTILLER,MILLI-Q-CLX-7080,F2MB26131A,MILLIPORE67120,1700,,,30/07/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
492,LAB,WEIGHING SCALE,GBB802-S,1122192239,Mettler Toledo,1757,,,31/07/2026,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
493,LAUNDRY,CLOTH DRYER ,HT075ERQNIG2WOI,1505030347,HUEBSCH,2578,,,1/8/2026,MANU,MANU,MANU,MANU,
494,LAUNDRY,CLOTH DRYER ,HT075ERQNIG2WOI,2.57914E+13,HUEBSCH,2579,,,2/8/2026,MANU,MANU,MANU,MANU,
495,LAUNDRY,CODA FILTER,A900-009,240429,LIFEGLOBAL,2577,,,3/8/2026,MANU,MANU,MANU,MANU,
496,LAUNDRY,DRYER3,HT075ERQN162WOI,904014518,HUEBSCH,2580,,,4/8/2026,MANU,MANU,MANU,MANU,
497,LAUNDRY,ELECTRIC BOILER,RHP6-30,22941,HOFFMAN,2572,,,5/8/2026,MANU,MANU,MANU,MANU,
498,LAUNDRY,ELECTRIC BOILER,RHP6-30,22938,HOFFMAN,2576,,,6/8/2026,MANU,MANU,MANU,MANU,
499,LAUNDRY,FLAT IRON 1,KZ 2000/A,5440,RENZACU,2574,,,7/8/2026,MANU,MANU,MANU,MANU,
500,LAUNDRY,FLAT IRON 2,KZ 2000/A,9.09041E+12,RENZACU,2573,,,8/8/2026,MANU,MANU,MANU,MANU,
501,LAUNDRY,PRESS IRON,EX-42SWSV,140034,HOFFMAN,2571,,,9/8/2026,MANU,MANU,MANU,MANU,
502,LAUNDRY,PRESS IRON,FX-42-SWSV,138084,HOFFMAN,2575,,,10/8/2026,MANU,MANU,MANU,MANU,
503,LAUNDRY,WASHING  3,HCGOMN2CU,804022195,HUEBSCH,2582,,,11/8/2026,MANU,MANU,MANU,MANU,
504,LAUNDRY,WASHING 1,WR280BN,28ORX004940WM,HUEBSCH,2584,,,12/8/2026,MANU,MANU,MANU,MANU,
505,LAUNDRY,WASHING 2,HCL060GNFPU,1412028554,HUEBSCH,2583,,,13/08/2026,MANU,MANU,MANU,MANU,
506,LAUNDRY,WASHING 4,HCGO80FNOFP,1809046851,HUEBSCH,2581,,,14/08/2026,MANU,MANU,MANU,MANU,
507,LDR,BABY WEIGHING SCALE,BD-590,17040016,TANITA,2320,,,15/08/2026,ARUN,SUJITH,SUJITH,SUJITH,
508,LDR,BLOOD GAS ANALYSER,COBAS B221,22009,ROCHE DIAGNOSTIC,2279,,,16/08/2026,JAYAPRAKASH,MANU,MANU,MANU,
509,LDR,BLOOD GAS ANALYSER,EASY BLOOD GAS,620030013,MEDICA,2285,,,17/08/2026,JAYAPRAKASH,MANU,MANU,MANU,
510,LDR,BLOOD WARMER,BW585,13464,BIEGLER,2330,,,18/08/2026,JAYAPRAKASH,MANU,MANU,MANU,
511,LDR,CTG MACHINE,F3,560027-M1960218003,EDAN INSTRUMENTS INC,2250,,,19/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
512,LDR,CTG MACHINE,F3,460323-M16101500004,EDAN INSTRUMENTS INC,2256,,,20/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
513,LDR,CTG MACHINE,F3,560034-M19904960001,EDAN INSTRUMENTS INC,2269,,,21/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
514,LDR,CTG MACHINE,F3,560027-M1962180003#,EDAN INSTRUMENTS INC,2282,,,22/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
515,LDR,CTG MACHINE,F3,460323-M16101500005,EDAN INSTRUMENTS INC,2299,,,23/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
516,LDR,CTG MACHINE,F3,560034-M19901960001,EDAN INSTRUMENTS INC,2304,,,24/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
517,LDR,CTG MACHINE,F3,460323-M16101500006,EDAN INSTRUMENTS INC,2311,,,25/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
518,LDR,CTG MACHINE,F3,460323-M160150003,EDAN INSTRUMENTS INC,2325,,,26/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
519,LDR,CTG MACHINE,F3,56034-M1990190001,EDAN INSTRUMENTS INC,2326,,,27/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
520,LDR,DEFIBRILATOR,CARDIO AID 360B,212060775,BEXON,2288,,,28/08/2026,SUJITH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
521,LDR,ECG MACHINE,SE-1200,360713-M1600662004,EDAN,2327,,,29/08/2026,SUJITH,ARUN,ARUN,ARUN,
522,LDR,FETAL DOPPLER,SD3,560027-M1962180003,EDAN,2623,,,30/08/2026,ARUN,SUJITH,SUJITH,SUJITH,
523,LDR,FLUID WARMING CABINET,FB105FS,6453,MALMET,2289,,,31/08/2026,MANU,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
524,LDR,INFANT RESUSCITATOR,NEOPUFF,90708002256,FISHER&PAYKAL,2267,,,1/9/2026,MANU,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
